// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\5823be10-79e9-4ec5-a28e-d0e1509e4f22
// command took 1,45s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\5823be10-79e9-4ec5-a28e-d0e1509e4f22
// command took 2,43s and exited with 0
// ***** Done, took 00:00:04 (4.08 sec)   *****
// Found 6 benchmarks:
//   BenchMarkExecutor.FindItemForeach: DefaultJob
//   BenchMarkExecutor.FindItemFor: DefaultJob
//   BenchMarkExecutor.FindItemForList: DefaultJob
//   BenchMarkExecutor.FindItemLinq: DefaultJob
//   BenchMarkExecutor.getArrayListItem: DefaultJob
//   BenchMarkExecutor.getArrayListItemEquals: DefaultJob

// **************************
// Benchmark: BenchMarkExecutor.FindItemForeach: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5823be10-79e9-4ec5-a28e-d0e1509e4f22.dll" --benchmarkName "DALMentoring.Collections.BenchMarkExecutor.FindItemForeach" --job "Default" --benchmarkId 0 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\5823be10-79e9-4ec5-a28e-d0e1509e4f22\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadPilot   20: 8388608 op, 210122100.00 ns, 25.0485 ns/op
WorkloadPilot   21: 16777216 op, 411019700.00 ns, 24.4987 ns/op
WorkloadPilot   22: 33554432 op, 823741500.00 ns, 24.5494 ns/op

OverheadWarmup   1: 33554432 op, 61769100.00 ns, 1.8409 ns/op
OverheadWarmup   2: 33554432 op, 61558300.00 ns, 1.8346 ns/op
OverheadWarmup   3: 33554432 op, 61465600.00 ns, 1.8318 ns/op
OverheadWarmup   4: 33554432 op, 57683200.00 ns, 1.7191 ns/op
OverheadWarmup   5: 33554432 op, 55642700.00 ns, 1.6583 ns/op
OverheadWarmup   6: 33554432 op, 55140900.00 ns, 1.6433 ns/op
OverheadWarmup   7: 33554432 op, 55084600.00 ns, 1.6416 ns/op
OverheadWarmup   8: 33554432 op, 55730100.00 ns, 1.6609 ns/op
OverheadWarmup   9: 33554432 op, 55659100.00 ns, 1.6588 ns/op
OverheadWarmup  10: 33554432 op, 55228100.00 ns, 1.6459 ns/op

OverheadActual   1: 33554432 op, 55150700.00 ns, 1.6436 ns/op
OverheadActual   2: 33554432 op, 55028500.00 ns, 1.6400 ns/op
OverheadActual   3: 33554432 op, 55063500.00 ns, 1.6410 ns/op
OverheadActual   4: 33554432 op, 55220200.00 ns, 1.6457 ns/op
OverheadActual   5: 33554432 op, 55217700.00 ns, 1.6456 ns/op
OverheadActual   6: 33554432 op, 55288300.00 ns, 1.6477 ns/op
OverheadActual   7: 33554432 op, 55462000.00 ns, 1.6529 ns/op
OverheadActual   8: 33554432 op, 55226400.00 ns, 1.6459 ns/op
OverheadActual   9: 33554432 op, 55173800.00 ns, 1.6443 ns/op
OverheadActual  10: 33554432 op, 54931400.00 ns, 1.6371 ns/op
OverheadActual  11: 33554432 op, 54662500.00 ns, 1.6291 ns/op
OverheadActual  12: 33554432 op, 55435800.00 ns, 1.6521 ns/op
OverheadActual  13: 33554432 op, 55297100.00 ns, 1.6480 ns/op
OverheadActual  14: 33554432 op, 55416400.00 ns, 1.6515 ns/op
OverheadActual  15: 33554432 op, 55237400.00 ns, 1.6462 ns/op

WorkloadWarmup   1: 33554432 op, 825065300.00 ns, 24.5889 ns/op
WorkloadWarmup   2: 33554432 op, 830246900.00 ns, 24.7433 ns/op
WorkloadWarmup   3: 33554432 op, 818696900.00 ns, 24.3991 ns/op
WorkloadWarmup   4: 33554432 op, 832050200.00 ns, 24.7970 ns/op
WorkloadWarmup   5: 33554432 op, 887257200.00 ns, 26.4423 ns/op
WorkloadWarmup   6: 33554432 op, 835801600.00 ns, 24.9088 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 821816000.00 ns, 24.4920 ns/op
WorkloadActual   2: 33554432 op, 828690300.00 ns, 24.6969 ns/op
WorkloadActual   3: 33554432 op, 830280100.00 ns, 24.7443 ns/op
WorkloadActual   4: 33554432 op, 828326700.00 ns, 24.6861 ns/op
WorkloadActual   5: 33554432 op, 824828900.00 ns, 24.5818 ns/op
WorkloadActual   6: 33554432 op, 823398500.00 ns, 24.5392 ns/op
WorkloadActual   7: 33554432 op, 819973700.00 ns, 24.4371 ns/op
WorkloadActual   8: 33554432 op, 838853400.00 ns, 24.9998 ns/op
WorkloadActual   9: 33554432 op, 823322100.00 ns, 24.5369 ns/op
WorkloadActual  10: 33554432 op, 831311200.00 ns, 24.7750 ns/op
WorkloadActual  11: 33554432 op, 828585300.00 ns, 24.6938 ns/op
WorkloadActual  12: 33554432 op, 832074900.00 ns, 24.7978 ns/op
WorkloadActual  13: 33554432 op, 823838700.00 ns, 24.5523 ns/op
WorkloadActual  14: 33554432 op, 835461200.00 ns, 24.8987 ns/op
WorkloadActual  15: 33554432 op, 841476900.00 ns, 25.0780 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 766595800.00 ns, 22.8463 ns/op
WorkloadResult   2: 33554432 op, 773470100.00 ns, 23.0512 ns/op
WorkloadResult   3: 33554432 op, 775059900.00 ns, 23.0986 ns/op
WorkloadResult   4: 33554432 op, 773106500.00 ns, 23.0404 ns/op
WorkloadResult   5: 33554432 op, 769608700.00 ns, 22.9361 ns/op
WorkloadResult   6: 33554432 op, 768178300.00 ns, 22.8935 ns/op
WorkloadResult   7: 33554432 op, 764753500.00 ns, 22.7914 ns/op
WorkloadResult   8: 33554432 op, 783633200.00 ns, 23.3541 ns/op
WorkloadResult   9: 33554432 op, 768101900.00 ns, 22.8912 ns/op
WorkloadResult  10: 33554432 op, 776091000.00 ns, 23.1293 ns/op
WorkloadResult  11: 33554432 op, 773365100.00 ns, 23.0481 ns/op
WorkloadResult  12: 33554432 op, 776854700.00 ns, 23.1521 ns/op
WorkloadResult  13: 33554432 op, 768618500.00 ns, 22.9066 ns/op
WorkloadResult  14: 33554432 op, 780241000.00 ns, 23.2530 ns/op
WorkloadResult  15: 33554432 op, 786256700.00 ns, 23.4323 ns/op
GC:  0 0 0 0 33554432
Threading:  2 0 33554432

// AfterAll
// Benchmark Process 18592 has exited with code 0

Mean = 23.055 ns, StdErr = 0.048 ns (0.21%), N = 15, StdDev = 0.187 ns
Min = 22.791 ns, Q1 = 22.900 ns, Median = 23.048 ns, Q3 = 23.141 ns, Max = 23.432 ns
IQR = 0.241 ns, LowerFence = 22.539 ns, UpperFence = 23.502 ns
ConfidenceInterval = [22.855 ns; 23.255 ns] (CI 99.9%), Margin = 0.200 ns (0.87% of Mean)
Skewness = 0.5, Kurtosis = 2.11, MValue = 2

// **************************
// Benchmark: BenchMarkExecutor.FindItemFor: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5823be10-79e9-4ec5-a28e-d0e1509e4f22.dll" --benchmarkName "DALMentoring.Collections.BenchMarkExecutor.FindItemFor" --job "Default" --benchmarkId 1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\5823be10-79e9-4ec5-a28e-d0e1509e4f22\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 254200.00 ns, 254.2000 us/op
WorkloadJitting  1: 1 op, 879300.00 ns, 879.3000 us/op

OverheadJitting  2: 16 op, 217500.00 ns, 13.5938 us/op
WorkloadJitting  2: 16 op, 309000.00 ns, 19.3125 us/op

WorkloadPilot    1: 16 op, 1400.00 ns, 87.5000 ns/op
WorkloadPilot    2: 32 op, 1700.00 ns, 53.1250 ns/op
WorkloadPilot    3: 64 op, 2400.00 ns, 37.5000 ns/op
WorkloadPilot    4: 128 op, 4100.00 ns, 32.0312 ns/op
WorkloadPilot    5: 256 op, 8700.00 ns, 33.9844 ns/op
WorkloadPilot    6: 512 op, 15400.00 ns, 30.0781 ns/op
WorkloadPilot    7: 1024 op, 30200.00 ns, 29.4922 ns/op
WorkloadPilot    8: 2048 op, 64200.00 ns, 31.3477 ns/op
WorkloadPilot    9: 4096 op, 127900.00 ns, 31.2256 ns/op
WorkloadPilot   10: 8192 op, 238900.00 ns, 29.1626 ns/op
WorkloadPilot   11: 16384 op, 473300.00 ns, 28.8879 ns/op
WorkloadPilot   12: 32768 op, 942500.00 ns, 28.7628 ns/op
WorkloadPilot   13: 65536 op, 1915300.00 ns, 29.2252 ns/op
WorkloadPilot   14: 131072 op, 3910500.00 ns, 29.8347 ns/op
WorkloadPilot   15: 262144 op, 7734100.00 ns, 29.5033 ns/op
WorkloadPilot   16: 524288 op, 15233900.00 ns, 29.0564 ns/op
WorkloadPilot   17: 1048576 op, 31275800.00 ns, 29.8269 ns/op
WorkloadPilot   18: 2097152 op, 60878300.00 ns, 29.0290 ns/op
WorkloadPilot   19: 4194304 op, 111949800.00 ns, 26.6909 ns/op
WorkloadPilot   20: 8388608 op, 225095900.00 ns, 26.8335 ns/op
WorkloadPilot   21: 16777216 op, 448050500.00 ns, 26.7059 ns/op
WorkloadPilot   22: 33554432 op, 886411200.00 ns, 26.4171 ns/op

OverheadWarmup   1: 33554432 op, 61167600.00 ns, 1.8229 ns/op
OverheadWarmup   2: 33554432 op, 61414200.00 ns, 1.8303 ns/op
OverheadWarmup   3: 33554432 op, 61775500.00 ns, 1.8411 ns/op
OverheadWarmup   4: 33554432 op, 62549900.00 ns, 1.8641 ns/op
OverheadWarmup   5: 33554432 op, 62785400.00 ns, 1.8712 ns/op
OverheadWarmup   6: 33554432 op, 63083000.00 ns, 1.8800 ns/op
OverheadWarmup   7: 33554432 op, 60927700.00 ns, 1.8158 ns/op
OverheadWarmup   8: 33554432 op, 55672900.00 ns, 1.6592 ns/op
OverheadWarmup   9: 33554432 op, 55659900.00 ns, 1.6588 ns/op
OverheadWarmup  10: 33554432 op, 55757400.00 ns, 1.6617 ns/op

OverheadActual   1: 33554432 op, 55687400.00 ns, 1.6596 ns/op
OverheadActual   2: 33554432 op, 55560000.00 ns, 1.6558 ns/op
OverheadActual   3: 33554432 op, 55041700.00 ns, 1.6404 ns/op
OverheadActual   4: 33554432 op, 54971800.00 ns, 1.6383 ns/op
OverheadActual   5: 33554432 op, 54664000.00 ns, 1.6291 ns/op
OverheadActual   6: 33554432 op, 54887000.00 ns, 1.6358 ns/op
OverheadActual   7: 33554432 op, 54882200.00 ns, 1.6356 ns/op
OverheadActual   8: 33554432 op, 54997400.00 ns, 1.6391 ns/op
OverheadActual   9: 33554432 op, 54686200.00 ns, 1.6298 ns/op
OverheadActual  10: 33554432 op, 54932100.00 ns, 1.6371 ns/op
OverheadActual  11: 33554432 op, 54831700.00 ns, 1.6341 ns/op
OverheadActual  12: 33554432 op, 54633500.00 ns, 1.6282 ns/op
OverheadActual  13: 33554432 op, 54801500.00 ns, 1.6332 ns/op
OverheadActual  14: 33554432 op, 54694000.00 ns, 1.6300 ns/op
OverheadActual  15: 33554432 op, 55864200.00 ns, 1.6649 ns/op

WorkloadWarmup   1: 33554432 op, 887721100.00 ns, 26.4562 ns/op
WorkloadWarmup   2: 33554432 op, 906812800.00 ns, 27.0251 ns/op
WorkloadWarmup   3: 33554432 op, 891359200.00 ns, 26.5646 ns/op
WorkloadWarmup   4: 33554432 op, 890976500.00 ns, 26.5532 ns/op
WorkloadWarmup   5: 33554432 op, 916580900.00 ns, 27.3162 ns/op
WorkloadWarmup   6: 33554432 op, 891301600.00 ns, 26.5629 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 908139900.00 ns, 27.0647 ns/op
WorkloadActual   2: 33554432 op, 890502000.00 ns, 26.5390 ns/op
WorkloadActual   3: 33554432 op, 893953800.00 ns, 26.6419 ns/op
WorkloadActual   4: 33554432 op, 883320100.00 ns, 26.3250 ns/op
WorkloadActual   5: 33554432 op, 878879600.00 ns, 26.1927 ns/op
WorkloadActual   6: 33554432 op, 930913600.00 ns, 27.7434 ns/op
WorkloadActual   7: 33554432 op, 893141200.00 ns, 26.6177 ns/op
WorkloadActual   8: 33554432 op, 881120900.00 ns, 26.2594 ns/op
WorkloadActual   9: 33554432 op, 887091300.00 ns, 26.4374 ns/op
WorkloadActual  10: 33554432 op, 915114100.00 ns, 27.2725 ns/op
WorkloadActual  11: 33554432 op, 892484300.00 ns, 26.5981 ns/op
WorkloadActual  12: 33554432 op, 904992400.00 ns, 26.9709 ns/op
WorkloadActual  13: 33554432 op, 897777900.00 ns, 26.7559 ns/op
WorkloadActual  14: 33554432 op, 893775700.00 ns, 26.6366 ns/op
WorkloadActual  15: 33554432 op, 911309000.00 ns, 27.1591 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 853252900.00 ns, 25.4289 ns/op
WorkloadResult   2: 33554432 op, 835615000.00 ns, 24.9033 ns/op
WorkloadResult   3: 33554432 op, 839066800.00 ns, 25.0061 ns/op
WorkloadResult   4: 33554432 op, 828433100.00 ns, 24.6892 ns/op
WorkloadResult   5: 33554432 op, 823992600.00 ns, 24.5569 ns/op
WorkloadResult   6: 33554432 op, 876026600.00 ns, 26.1076 ns/op
WorkloadResult   7: 33554432 op, 838254200.00 ns, 24.9819 ns/op
WorkloadResult   8: 33554432 op, 826233900.00 ns, 24.6237 ns/op
WorkloadResult   9: 33554432 op, 832204300.00 ns, 24.8016 ns/op
WorkloadResult  10: 33554432 op, 860227100.00 ns, 25.6368 ns/op
WorkloadResult  11: 33554432 op, 837597300.00 ns, 24.9623 ns/op
WorkloadResult  12: 33554432 op, 850105400.00 ns, 25.3351 ns/op
WorkloadResult  13: 33554432 op, 842890900.00 ns, 25.1201 ns/op
WorkloadResult  14: 33554432 op, 838888700.00 ns, 25.0008 ns/op
WorkloadResult  15: 33554432 op, 856422000.00 ns, 25.5234 ns/op
GC:  0 0 0 0 33554432
Threading:  2 0 33554432

// AfterAll
// Benchmark Process 8848 has exited with code 0

Mean = 25.112 ns, StdErr = 0.109 ns (0.44%), N = 15, StdDev = 0.424 ns
Min = 24.557 ns, Q1 = 24.852 ns, Median = 25.001 ns, Q3 = 25.382 ns, Max = 26.108 ns
IQR = 0.530 ns, LowerFence = 24.058 ns, UpperFence = 26.176 ns
ConfidenceInterval = [24.659 ns; 25.565 ns] (CI 99.9%), Margin = 0.453 ns (1.80% of Mean)
Skewness = 0.73, Kurtosis = 2.68, MValue = 2

// **************************
// Benchmark: BenchMarkExecutor.FindItemForList: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5823be10-79e9-4ec5-a28e-d0e1509e4f22.dll" --benchmarkName "DALMentoring.Collections.BenchMarkExecutor.FindItemForList" --job "Default" --benchmarkId 2 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\5823be10-79e9-4ec5-a28e-d0e1509e4f22\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 260800.00 ns, 260.8000 us/op
WorkloadJitting  1: 1 op, 1191300.00 ns, 1.1913 ms/op

OverheadJitting  2: 16 op, 227100.00 ns, 14.1937 us/op
WorkloadJitting  2: 16 op, 209100.00 ns, 13.0687 us/op

WorkloadPilot    1: 16 op, 1900.00 ns, 118.7500 ns/op
WorkloadPilot    2: 32 op, 2700.00 ns, 84.3750 ns/op
WorkloadPilot    3: 64 op, 4600.00 ns, 71.8750 ns/op
WorkloadPilot    4: 128 op, 8800.00 ns, 68.7500 ns/op
WorkloadPilot    5: 256 op, 16800.00 ns, 65.6250 ns/op
WorkloadPilot    6: 512 op, 34300.00 ns, 66.9922 ns/op
WorkloadPilot    7: 1024 op, 65600.00 ns, 64.0625 ns/op
WorkloadPilot    8: 2048 op, 132300.00 ns, 64.5996 ns/op
WorkloadPilot    9: 4096 op, 257900.00 ns, 62.9639 ns/op
WorkloadPilot   10: 8192 op, 525500.00 ns, 64.1479 ns/op
WorkloadPilot   11: 16384 op, 1061900.00 ns, 64.8132 ns/op
WorkloadPilot   12: 32768 op, 2086100.00 ns, 63.6627 ns/op
WorkloadPilot   13: 65536 op, 4181800.00 ns, 63.8092 ns/op
WorkloadPilot   14: 131072 op, 8642800.00 ns, 65.9393 ns/op
WorkloadPilot   15: 262144 op, 16707500.00 ns, 63.7341 ns/op
WorkloadPilot   16: 524288 op, 33244900.00 ns, 63.4096 ns/op
WorkloadPilot   17: 1048576 op, 64500100.00 ns, 61.5121 ns/op
WorkloadPilot   18: 2097152 op, 121673400.00 ns, 58.0184 ns/op
WorkloadPilot   19: 4194304 op, 240803800.00 ns, 57.4121 ns/op
WorkloadPilot   20: 8388608 op, 480701500.00 ns, 57.3041 ns/op
WorkloadPilot   21: 16777216 op, 958135300.00 ns, 57.1093 ns/op

OverheadWarmup   1: 16777216 op, 30777600.00 ns, 1.8345 ns/op
OverheadWarmup   2: 16777216 op, 31027800.00 ns, 1.8494 ns/op
OverheadWarmup   3: 16777216 op, 30818900.00 ns, 1.8369 ns/op
OverheadWarmup   4: 16777216 op, 30772700.00 ns, 1.8342 ns/op
OverheadWarmup   5: 16777216 op, 30748800.00 ns, 1.8328 ns/op
OverheadWarmup   6: 16777216 op, 30706800.00 ns, 1.8303 ns/op
OverheadWarmup   7: 16777216 op, 30817300.00 ns, 1.8369 ns/op
OverheadWarmup   8: 16777216 op, 30963100.00 ns, 1.8455 ns/op
OverheadWarmup   9: 16777216 op, 31354100.00 ns, 1.8688 ns/op
OverheadWarmup  10: 16777216 op, 31295400.00 ns, 1.8654 ns/op

OverheadActual   1: 16777216 op, 31237100.00 ns, 1.8619 ns/op
OverheadActual   2: 16777216 op, 31214400.00 ns, 1.8605 ns/op
OverheadActual   3: 16777216 op, 31295900.00 ns, 1.8654 ns/op
OverheadActual   4: 16777216 op, 31319400.00 ns, 1.8668 ns/op
OverheadActual   5: 16777216 op, 31252400.00 ns, 1.8628 ns/op
OverheadActual   6: 16777216 op, 31198500.00 ns, 1.8596 ns/op
OverheadActual   7: 16777216 op, 30956700.00 ns, 1.8452 ns/op
OverheadActual   8: 16777216 op, 27482800.00 ns, 1.6381 ns/op
OverheadActual   9: 16777216 op, 27412300.00 ns, 1.6339 ns/op
OverheadActual  10: 16777216 op, 27369400.00 ns, 1.6313 ns/op
OverheadActual  11: 16777216 op, 27640000.00 ns, 1.6475 ns/op
OverheadActual  12: 16777216 op, 28498900.00 ns, 1.6987 ns/op
OverheadActual  13: 16777216 op, 27582500.00 ns, 1.6440 ns/op
OverheadActual  14: 16777216 op, 27540800.00 ns, 1.6416 ns/op
OverheadActual  15: 16777216 op, 27662600.00 ns, 1.6488 ns/op
OverheadActual  16: 16777216 op, 27898800.00 ns, 1.6629 ns/op
OverheadActual  17: 16777216 op, 27851100.00 ns, 1.6601 ns/op
OverheadActual  18: 16777216 op, 27849400.00 ns, 1.6600 ns/op
OverheadActual  19: 16777216 op, 27912400.00 ns, 1.6637 ns/op
OverheadActual  20: 16777216 op, 27868400.00 ns, 1.6611 ns/op

WorkloadWarmup   1: 16777216 op, 959772100.00 ns, 57.2069 ns/op
WorkloadWarmup   2: 16777216 op, 962634000.00 ns, 57.3775 ns/op
WorkloadWarmup   3: 16777216 op, 960525300.00 ns, 57.2518 ns/op
WorkloadWarmup   4: 16777216 op, 956838700.00 ns, 57.0320 ns/op
WorkloadWarmup   5: 16777216 op, 956715400.00 ns, 57.0247 ns/op
WorkloadWarmup   6: 16777216 op, 957408100.00 ns, 57.0660 ns/op
WorkloadWarmup   7: 16777216 op, 958429900.00 ns, 57.1269 ns/op
WorkloadWarmup   8: 16777216 op, 956480600.00 ns, 57.0107 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 960268200.00 ns, 57.2364 ns/op
WorkloadActual   2: 16777216 op, 969405600.00 ns, 57.7811 ns/op
WorkloadActual   3: 16777216 op, 1018315500.00 ns, 60.6963 ns/op
WorkloadActual   4: 16777216 op, 973236300.00 ns, 58.0094 ns/op
WorkloadActual   5: 16777216 op, 995652500.00 ns, 59.3455 ns/op
WorkloadActual   6: 16777216 op, 976620900.00 ns, 58.2111 ns/op
WorkloadActual   7: 16777216 op, 979622700.00 ns, 58.3901 ns/op
WorkloadActual   8: 16777216 op, 966474100.00 ns, 57.6063 ns/op
WorkloadActual   9: 16777216 op, 972600000.00 ns, 57.9715 ns/op
WorkloadActual  10: 16777216 op, 974333900.00 ns, 58.0748 ns/op
WorkloadActual  11: 16777216 op, 973140800.00 ns, 58.0037 ns/op
WorkloadActual  12: 16777216 op, 973276800.00 ns, 58.0118 ns/op
WorkloadActual  13: 16777216 op, 974286000.00 ns, 58.0720 ns/op
WorkloadActual  14: 16777216 op, 1023502400.00 ns, 61.0055 ns/op
WorkloadActual  15: 16777216 op, 1002588900.00 ns, 59.7590 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 932384600.00 ns, 55.5745 ns/op
WorkloadResult   2: 16777216 op, 941522000.00 ns, 56.1191 ns/op
WorkloadResult   3: 16777216 op, 945352700.00 ns, 56.3474 ns/op
WorkloadResult   4: 16777216 op, 967768900.00 ns, 57.6835 ns/op
WorkloadResult   5: 16777216 op, 948737300.00 ns, 56.5491 ns/op
WorkloadResult   6: 16777216 op, 951739100.00 ns, 56.7281 ns/op
WorkloadResult   7: 16777216 op, 938590500.00 ns, 55.9444 ns/op
WorkloadResult   8: 16777216 op, 944716400.00 ns, 56.3095 ns/op
WorkloadResult   9: 16777216 op, 946450300.00 ns, 56.4128 ns/op
WorkloadResult  10: 16777216 op, 945257200.00 ns, 56.3417 ns/op
WorkloadResult  11: 16777216 op, 945393200.00 ns, 56.3498 ns/op
WorkloadResult  12: 16777216 op, 946402400.00 ns, 56.4100 ns/op
WorkloadResult  13: 16777216 op, 974705300.00 ns, 58.0970 ns/op
GC:  0 0 0 48 16777216
Threading:  2 0 16777216

// AfterAll
// Benchmark Process 10788 has exited with code 0

Mean = 56.528 ns, StdErr = 0.187 ns (0.33%), N = 13, StdDev = 0.673 ns
Min = 55.574 ns, Q1 = 56.309 ns, Median = 56.350 ns, Q3 = 56.549 ns, Max = 58.097 ns
IQR = 0.240 ns, LowerFence = 55.950 ns, UpperFence = 56.909 ns
ConfidenceInterval = [55.723 ns; 57.334 ns] (CI 99.9%), Margin = 0.805 ns (1.42% of Mean)
Skewness = 1.07, Kurtosis = 3.31, MValue = 2

// **************************
// Benchmark: BenchMarkExecutor.FindItemLinq: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5823be10-79e9-4ec5-a28e-d0e1509e4f22.dll" --benchmarkName "DALMentoring.Collections.BenchMarkExecutor.FindItemLinq" --job "Default" --benchmarkId 3 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\5823be10-79e9-4ec5-a28e-d0e1509e4f22\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 263600.00 ns, 263.6000 us/op
WorkloadJitting  1: 1 op, 948900.00 ns, 948.9000 us/op

OverheadJitting  2: 16 op, 260000.00 ns, 16.2500 us/op
WorkloadJitting  2: 16 op, 211700.00 ns, 13.2312 us/op

WorkloadPilot    1: 16 op, 3300.00 ns, 206.2500 ns/op
WorkloadPilot    2: 32 op, 3300.00 ns, 103.1250 ns/op
