// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\307cd3c4-361e-42ac-888a-7a2999f2a714
// command took 1,42s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\307cd3c4-361e-42ac-888a-7a2999f2a714
// command took 2,44s and exited with 0
// ***** Done, took 00:00:03 (3.98 sec)   *****
// Found 6 benchmarks:
//   BenchMarkExecutor.FindItemForeach: DefaultJob
//   BenchMarkExecutor.FindItemFor: DefaultJob
//   BenchMarkExecutor.FindItemForList: DefaultJob
//   BenchMarkExecutor.FindItemLinq: DefaultJob
//   BenchMarkExecutor.getArrayListItem: DefaultJob
//   BenchMarkExecutor.getArrayListItemEquals: DefaultJob

// **************************
// Benchmark: BenchMarkExecutor.FindItemForeach: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "307cd3c4-361e-42ac-888a-7a2999f2a714.dll" --benchmarkName "DALMentoring.Collections.BenchMarkExecutor.FindItemForeach" --job "Default" --benchmarkId 0 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\307cd3c4-361e-42ac-888a-7a2999f2a714\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadActual   7: 33554432 op, 55789200.00 ns, 1.6626 ns/op
OverheadActual   8: 33554432 op, 55765500.00 ns, 1.6619 ns/op
OverheadActual   9: 33554432 op, 55837900.00 ns, 1.6641 ns/op
OverheadActual  10: 33554432 op, 55789200.00 ns, 1.6626 ns/op
OverheadActual  11: 33554432 op, 55774500.00 ns, 1.6622 ns/op
OverheadActual  12: 33554432 op, 56422800.00 ns, 1.6815 ns/op
OverheadActual  13: 33554432 op, 56789400.00 ns, 1.6925 ns/op
OverheadActual  14: 33554432 op, 55810100.00 ns, 1.6633 ns/op
OverheadActual  15: 33554432 op, 55802100.00 ns, 1.6630 ns/op

WorkloadWarmup   1: 33554432 op, 890825100.00 ns, 26.5487 ns/op
WorkloadWarmup   2: 33554432 op, 892431200.00 ns, 26.5965 ns/op
WorkloadWarmup   3: 33554432 op, 875309400.00 ns, 26.0863 ns/op
WorkloadWarmup   4: 33554432 op, 896064400.00 ns, 26.7048 ns/op
WorkloadWarmup   5: 33554432 op, 884923900.00 ns, 26.3728 ns/op
WorkloadWarmup   6: 33554432 op, 876284200.00 ns, 26.1153 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 872730600.00 ns, 26.0094 ns/op
WorkloadActual   2: 33554432 op, 878839900.00 ns, 26.1915 ns/op
WorkloadActual   3: 33554432 op, 866742700.00 ns, 25.8309 ns/op
WorkloadActual   4: 33554432 op, 867503200.00 ns, 25.8536 ns/op
WorkloadActual   5: 33554432 op, 870944300.00 ns, 25.9562 ns/op
WorkloadActual   6: 33554432 op, 883444900.00 ns, 26.3287 ns/op
WorkloadActual   7: 33554432 op, 894103600.00 ns, 26.6464 ns/op
WorkloadActual   8: 33554432 op, 907873600.00 ns, 27.0567 ns/op
WorkloadActual   9: 33554432 op, 891160500.00 ns, 26.5587 ns/op
WorkloadActual  10: 33554432 op, 875840000.00 ns, 26.1021 ns/op
WorkloadActual  11: 33554432 op, 905922500.00 ns, 26.9986 ns/op
WorkloadActual  12: 33554432 op, 892709600.00 ns, 26.6048 ns/op
WorkloadActual  13: 33554432 op, 872415600.00 ns, 26.0000 ns/op
WorkloadActual  14: 33554432 op, 892642900.00 ns, 26.6028 ns/op
WorkloadActual  15: 33554432 op, 901618000.00 ns, 26.8703 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 816941400.00 ns, 24.3468 ns/op
WorkloadResult   2: 33554432 op, 823050700.00 ns, 24.5288 ns/op
WorkloadResult   3: 33554432 op, 810953500.00 ns, 24.1683 ns/op
WorkloadResult   4: 33554432 op, 811714000.00 ns, 24.1910 ns/op
WorkloadResult   5: 33554432 op, 815155100.00 ns, 24.2935 ns/op
WorkloadResult   6: 33554432 op, 827655700.00 ns, 24.6661 ns/op
WorkloadResult   7: 33554432 op, 838314400.00 ns, 24.9837 ns/op
WorkloadResult   8: 33554432 op, 852084400.00 ns, 25.3941 ns/op
WorkloadResult   9: 33554432 op, 835371300.00 ns, 24.8960 ns/op
WorkloadResult  10: 33554432 op, 820050800.00 ns, 24.4394 ns/op
WorkloadResult  11: 33554432 op, 850133300.00 ns, 25.3359 ns/op
WorkloadResult  12: 33554432 op, 836920400.00 ns, 24.9422 ns/op
WorkloadResult  13: 33554432 op, 816626400.00 ns, 24.3374 ns/op
WorkloadResult  14: 33554432 op, 836853700.00 ns, 24.9402 ns/op
WorkloadResult  15: 33554432 op, 845828800.00 ns, 25.2077 ns/op
GC:  0 0 0 0 33554432
Threading:  2 0 33554432

// AfterAll
// Benchmark Process 11856 has exited with code 0

Mean = 24.711 ns, StdErr = 0.108 ns (0.44%), N = 15, StdDev = 0.417 ns
Min = 24.168 ns, Q1 = 24.342 ns, Median = 24.666 ns, Q3 = 24.963 ns, Max = 25.394 ns
IQR = 0.621 ns, LowerFence = 23.411 ns, UpperFence = 25.894 ns
ConfidenceInterval = [24.265 ns; 25.158 ns] (CI 99.9%), Margin = 0.446 ns (1.81% of Mean)
Skewness = 0.21, Kurtosis = 1.49, MValue = 2

// **************************
// Benchmark: BenchMarkExecutor.FindItemForList: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "307cd3c4-361e-42ac-888a-7a2999f2a714.dll" --benchmarkName "DALMentoring.Collections.BenchMarkExecutor.FindItemForList" --job "Default" --benchmarkId 2 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\307cd3c4-361e-42ac-888a-7a2999f2a714\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 266400.00 ns, 266.4000 us/op
WorkloadJitting  1: 1 op, 1209500.00 ns, 1.2095 ms/op

OverheadJitting  2: 16 op, 263900.00 ns, 16.4937 us/op
WorkloadJitting  2: 16 op, 213800.00 ns, 13.3625 us/op

WorkloadPilot    1: 16 op, 2200.00 ns, 137.5000 ns/op
WorkloadPilot    2: 32 op, 2700.00 ns, 84.3750 ns/op
WorkloadPilot    3: 64 op, 4700.00 ns, 73.4375 ns/op
WorkloadPilot    4: 128 op, 8700.00 ns, 67.9688 ns/op
WorkloadPilot    5: 256 op, 17100.00 ns, 66.7969 ns/op
WorkloadPilot    6: 512 op, 33300.00 ns, 65.0391 ns/op
WorkloadPilot    7: 1024 op, 65900.00 ns, 64.3555 ns/op
WorkloadPilot    8: 2048 op, 134500.00 ns, 65.6738 ns/op
WorkloadPilot    9: 4096 op, 263200.00 ns, 64.2578 ns/op
WorkloadPilot   10: 8192 op, 533300.00 ns, 65.1001 ns/op
WorkloadPilot   11: 16384 op, 1066500.00 ns, 65.0940 ns/op
WorkloadPilot   12: 32768 op, 2080100.00 ns, 63.4796 ns/op
WorkloadPilot   13: 65536 op, 4354900.00 ns, 66.4505 ns/op
WorkloadPilot   14: 131072 op, 8387200.00 ns, 63.9893 ns/op
WorkloadPilot   15: 262144 op, 16914800.00 ns, 64.5248 ns/op
WorkloadPilot   16: 524288 op, 34125500.00 ns, 65.0892 ns/op
WorkloadPilot   17: 1048576 op, 69277000.00 ns, 66.0677 ns/op
WorkloadPilot   18: 2097152 op, 132943000.00 ns, 63.3922 ns/op
WorkloadPilot   19: 4194304 op, 251647100.00 ns, 59.9973 ns/op
WorkloadPilot   20: 8388608 op, 500588000.00 ns, 59.6747 ns/op

OverheadWarmup   1: 8388608 op, 15817400.00 ns, 1.8856 ns/op
OverheadWarmup   2: 8388608 op, 15854400.00 ns, 1.8900 ns/op
OverheadWarmup   3: 8388608 op, 17381400.00 ns, 2.0720 ns/op
OverheadWarmup   4: 8388608 op, 16891300.00 ns, 2.0136 ns/op
OverheadWarmup   5: 8388608 op, 16278800.00 ns, 1.9406 ns/op
OverheadWarmup   6: 8388608 op, 15671000.00 ns, 1.8681 ns/op
OverheadWarmup   7: 8388608 op, 15641900.00 ns, 1.8647 ns/op
OverheadWarmup   8: 8388608 op, 15649800.00 ns, 1.8656 ns/op
OverheadWarmup   9: 8388608 op, 15655200.00 ns, 1.8662 ns/op
OverheadWarmup  10: 8388608 op, 15682100.00 ns, 1.8695 ns/op

OverheadActual   1: 8388608 op, 15627900.00 ns, 1.8630 ns/op
OverheadActual   2: 8388608 op, 15663000.00 ns, 1.8672 ns/op
OverheadActual   3: 8388608 op, 15693700.00 ns, 1.8708 ns/op
OverheadActual   4: 8388608 op, 15644800.00 ns, 1.8650 ns/op
OverheadActual   5: 8388608 op, 15777400.00 ns, 1.8808 ns/op
OverheadActual   6: 8388608 op, 15628700.00 ns, 1.8631 ns/op
OverheadActual   7: 8388608 op, 15783900.00 ns, 1.8816 ns/op
OverheadActual   8: 8388608 op, 15763500.00 ns, 1.8792 ns/op
OverheadActual   9: 8388608 op, 15665600.00 ns, 1.8675 ns/op
OverheadActual  10: 8388608 op, 15696400.00 ns, 1.8712 ns/op
OverheadActual  11: 8388608 op, 15665000.00 ns, 1.8674 ns/op
OverheadActual  12: 8388608 op, 15640000.00 ns, 1.8644 ns/op
OverheadActual  13: 8388608 op, 15673400.00 ns, 1.8684 ns/op
OverheadActual  14: 8388608 op, 15669800.00 ns, 1.8680 ns/op
OverheadActual  15: 8388608 op, 15634200.00 ns, 1.8637 ns/op

WorkloadWarmup   1: 8388608 op, 495435300.00 ns, 59.0605 ns/op
WorkloadWarmup   2: 8388608 op, 494817700.00 ns, 58.9869 ns/op
WorkloadWarmup   3: 8388608 op, 496501400.00 ns, 59.1876 ns/op
WorkloadWarmup   4: 8388608 op, 514798400.00 ns, 61.3688 ns/op
WorkloadWarmup   5: 8388608 op, 506125800.00 ns, 60.3349 ns/op
WorkloadWarmup   6: 8388608 op, 492850600.00 ns, 58.7524 ns/op
WorkloadWarmup   7: 8388608 op, 500369000.00 ns, 59.6486 ns/op
WorkloadWarmup   8: 8388608 op, 518275100.00 ns, 61.7832 ns/op
WorkloadWarmup   9: 8388608 op, 507600200.00 ns, 60.5107 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 494514400.00 ns, 58.9507 ns/op
WorkloadActual   2: 8388608 op, 501439800.00 ns, 59.7763 ns/op
WorkloadActual   3: 8388608 op, 487567600.00 ns, 58.1226 ns/op
WorkloadActual   4: 8388608 op, 494012000.00 ns, 58.8908 ns/op
WorkloadActual   5: 8388608 op, 512458800.00 ns, 61.0898 ns/op
WorkloadActual   6: 8388608 op, 492001400.00 ns, 58.6511 ns/op
WorkloadActual   7: 8388608 op, 494468200.00 ns, 58.9452 ns/op
WorkloadActual   8: 8388608 op, 499932900.00 ns, 59.5966 ns/op
WorkloadActual   9: 8388608 op, 511180200.00 ns, 60.9374 ns/op
WorkloadActual  10: 8388608 op, 504189700.00 ns, 60.1041 ns/op
WorkloadActual  11: 8388608 op, 510127700.00 ns, 60.8120 ns/op
WorkloadActual  12: 8388608 op, 497276200.00 ns, 59.2799 ns/op
WorkloadActual  13: 8388608 op, 494380000.00 ns, 58.9347 ns/op
WorkloadActual  14: 8388608 op, 500307700.00 ns, 59.6413 ns/op
WorkloadActual  15: 8388608 op, 496271300.00 ns, 59.1601 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 478848800.00 ns, 57.0832 ns/op
WorkloadResult   2: 8388608 op, 485774200.00 ns, 57.9088 ns/op
WorkloadResult   3: 8388608 op, 471902000.00 ns, 56.2551 ns/op
WorkloadResult   4: 8388608 op, 478346400.00 ns, 57.0233 ns/op
WorkloadResult   5: 8388608 op, 496793200.00 ns, 59.2224 ns/op
WorkloadResult   6: 8388608 op, 476335800.00 ns, 56.7837 ns/op
WorkloadResult   7: 8388608 op, 478802600.00 ns, 57.0777 ns/op
WorkloadResult   8: 8388608 op, 484267300.00 ns, 57.7292 ns/op
WorkloadResult   9: 8388608 op, 495514600.00 ns, 59.0699 ns/op
WorkloadResult  10: 8388608 op, 488524100.00 ns, 58.2366 ns/op
WorkloadResult  11: 8388608 op, 494462100.00 ns, 58.9445 ns/op
WorkloadResult  12: 8388608 op, 481610600.00 ns, 57.4125 ns/op
WorkloadResult  13: 8388608 op, 478714400.00 ns, 57.0672 ns/op
WorkloadResult  14: 8388608 op, 484642100.00 ns, 57.7738 ns/op
WorkloadResult  15: 8388608 op, 480605700.00 ns, 57.2927 ns/op
GC:  0 0 0 576 8388608
Threading:  2 0 8388608

// AfterAll
// Benchmark Process 18452 has exited with code 0

Mean = 57.659 ns, StdErr = 0.227 ns (0.39%), N = 15, StdDev = 0.881 ns
Min = 56.255 ns, Q1 = 57.072 ns, Median = 57.412 ns, Q3 = 58.073 ns, Max = 59.222 ns
IQR = 1.000 ns, LowerFence = 55.572 ns, UpperFence = 59.573 ns
ConfidenceInterval = [56.717 ns; 58.600 ns] (CI 99.9%), Margin = 0.941 ns (1.63% of Mean)
Skewness = 0.45, Kurtosis = 1.97, MValue = 2

// **************************
// Benchmark: BenchMarkExecutor.FindItemLinq: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "307cd3c4-361e-42ac-888a-7a2999f2a714.dll" --benchmarkName "DALMentoring.Collections.BenchMarkExecutor.FindItemLinq" --job "Default" --benchmarkId 3 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\307cd3c4-361e-42ac-888a-7a2999f2a714\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 309700.00 ns, 309.7000 us/op
WorkloadJitting  1: 1 op, 1115500.00 ns, 1.1155 ms/op

OverheadJitting  2: 16 op, 249300.00 ns, 15.5813 us/op
WorkloadJitting  2: 16 op, 216200.00 ns, 13.5125 us/op

WorkloadPilot    1: 16 op, 2800.00 ns, 175.0000 ns/op
WorkloadPilot    2: 32 op, 3800.00 ns, 118.7500 ns/op
WorkloadPilot    3: 64 op, 5200.00 ns, 81.2500 ns/op
WorkloadPilot    4: 128 op, 9400.00 ns, 73.4375 ns/op
WorkloadPilot    5: 256 op, 24200.00 ns, 94.5312 ns/op
WorkloadPilot    6: 512 op, 33300.00 ns, 65.0391 ns/op
WorkloadPilot    7: 1024 op, 68000.00 ns, 66.4062 ns/op
